"","posteam","epa_per_pass","epa_per_rush","def_epa_per_pass","def_epa_per_rush"
"1","ARI",-0.0233604610525511,-0.0851740859695543,0.302838830247484,-0.103805923450589
"2","ATL",-0.00983392265583589,-0.0366616096892103,0.316574006711915,-0.0781402670755777
"3","BAL",0.2866734847107,0.378101699840398,0.165541797618634,-0.0864331576326756
"4","BUF",0.121733628103104,0.152214498096659,-0.137865926424617,-0.0184375669174253
"5","CAR",0.14974909342655,0.0518828849707078,-0.0738735161379698,0.0799431017429996
"6","CHI",-0.0469642944363731,-0.0546465599698865,0.0287931075990084,-0.306397279731157
"7","CIN",0.100213866596438,-0.425399226338105,0.11222468634587,0.00779217227142692
"8","CLE",0.111305043010439,-0.0428007840070329,-0.0105999835670511,-0.0582446886441161
"9","DAL",0.486833143092031,-0.0714323997818976,0.0142603617357122,-0.0985968901345288
"10","DEN",0.0518452999149452,-0.169677369938746,0.287202894106074,-0.0400601270395255
"11","DET",0.396490180787824,-0.0988852673865306,0.031492602056913,-0.142438426474529
"12","GB",0.370981484040919,-0.240584081831361,-0.364959546974388,0.0937645555564067
"13","HOU",0.100589937304509,0.035696192642356,0.154168687142,-0.2494384410981
"14","IND",0.0517442152615568,-0.00752933096609989,0.285068203667499,0.0353333088745237
"15","JAX",0.033757997912706,-0.299577128396444,0.122044511510784,0.0117765263363055
"16","KC",0.861800375339653,-0.112310070530626,0.017429517575039,0.154120326318775
"17","LA",-0.0921787730309243,0.0638306626662451,-0.136586101374017,-0.117759438009599
"18","LAC",0.260072259434164,-0.0211499696582635,0.380543337789746,0.0286491873487335
"19","MIA",-0.000809667192491208,-0.479378181527665,0.600334179553897,0.0702423613438309
"20","MIN",-0.154217853459484,0.0253857806583023,0.00127150428906725,-0.18556750926454
"21","NE",0.572160624686342,0.0465151043099123,-0.467186996326958,-0.445621842116317
"22","NO",-0.143721575621677,-0.00315249236837805,0.27505202158844,-0.139639842531583
"23","NYG",-0.172977138510391,0.247533761728255,0.465200095995859,-0.0222643102626251
"24","NYJ",-0.506005171561021,-0.188679646372683,0.0527913802700045,-0.0417036454016312
"25","OAK",0.198313051611766,-0.0905217859722209,0.388951373462968,-0.117495611036065
"26","PHI",-0.00422771892171542,-0.328380631317866,0.269545946353287,-0.270820719786476
"27","PIT",0.0804952232108924,-0.203927772362076,0.334967302932962,-0.123618409804608
"28","SEA",0.0832732758462864,-0.513108647470211,0.0906028170474733,-0.262978137786948
"29","SF",-0.0852584118550029,-0.068215845651197,-0.175171178972082,-0.181243048497648
"30","TB",0.0964383369176253,-0.065877533760271,0.055081423769117,-0.374731525204147
"31","TEN",0.411613774897938,0.0400474509431454,-0.113780396360053,-0.112133929389694
"32","WAS",-0.00127768164333824,-0.287583610683497,0.427292285402172,-0.0270257715850034
